"tty","label"
"BN","Abacavir"
"BN","Acarbose"
"BN","AcetaZOLAMIDE"
"BN","Acetylcysteine"
"BN","Acetylsalicylic Acid"
"BN","Acitretin"
"BN","Acyclovir"
"BN","Adalimumab"
"BN","Adapalene"
"BN","Adenosine"
"BN","Albendazole"
"BN","Albumin Human"
"BN","Albumin, Normal Serum, Human"
"BN","Albuterol"
"BN","Aliskiren"
"BN","Allopurinol"
"BN","Alogliptin"
"BN","Alprazolam"
"BN","Alprostadil"
"BN","AmLODIPine"
"BN","Ambrisentan"
"BN","Amcinonide"
"BN","Aminocaproic Acid"
"BN","Ammonium Lactate"
"BN","Amoxapine"
"BN","Amphotericin B"
"BN","Ampicillin"
"BN","Anastrozole"
"BN","Antivenin (Latrodectus mactans)"
"BN","Aprepitant"
"BN","Argatroban"
"BN","Aripiprazole"
"BN","Ascorbic Acid"
"BN","Asenapine"
"BN","Aspirin"
"BN","Atenolol"
"BN","Atovaquone"
"BN","AzaCITIDine"
"BN","AzaTHIOprine"
"BN","Azithromycin"
"BN","Aztreonam"
"BN","Baclofen"
"BN","Baricitinib"
"BN","Barium Sulfate"
"BN","Bendamustine"
"BN","Bendroflumethiazide"
"BN","Benzocaine"
"BN","Benzoic Acid"
"BN","Benzonatate"
"BN","Bepotastine"
"BN","Betaine Anhydrous"
"BN","Betamethasone"
"BN","Bexagliflozin"
"BN","Bexarotene"
"BN","Bicalutamide"
"BN","Bimatoprost"
"BN","Bisacodyl"
"BN","Bivalirudin"
"BN","Bleomycin"
"BN","Bortezomib"
"BN","Brimonidine"
"BN","Brinzolamide"
"BN","Bromfenac"
"BN","Budesonide"
"BN","Bumetanide"
"BN","Buprenorphine"
"BN","Busulfan"
"BN","Butalbital"
"BN","Cabergoline"
"BN","Caffeine"
"BN","Calciferol"
"BN","Calcipotriene"
"BN","Calcitonin, Salmon"
"BN","Calcitriol"
"BN","Calcium"
"BN","Capecitabine"
"BN","Captopril"
"BN","CarBAMazepine"
"BN","Carbinoxamine"
"BN","Carboplatin"
"BN","Carglumic acid"
"BN","Carisoprodol"
"BN","Carmustine"
"BN","Carvedilol"
"BN","CefOXitin"
"BN","Cefdinir"
"BN","Cefprozil"
"BN","Ceftibuten"
"BN","Celecoxib"
"BN","Chlorambucil"
"BN","Chloramphenicol"
"BN","Chlorothiazide"
"BN","Chlorpheniramine"
"BN","Chlorpheniramine (Allergy)"
"BN","Chlorthalidone"
"BN","Chlorzoxazone"
"BN","Cholecalciferol"
"BN","Cholestyramine"
"BN","Chromium"
"BN","Cilostazol"
"BN","Cimetidine"
"BN","Ciprofloxacin"
"BN","Cisplatin"
"BN","Cladribine"
"BN","Clarithromycin"
"BN","Clioquinol"
"BN","CloBAZam"
"BN","CloZAPine"
"BN","Clofarabine"
"BN","ClonazePAM"
"BN","Clonidine"
"BN","Colchicine"
"BN","Collagenase"
"BN","Corticotropin"
"BN","Cortisone"
"BN","Cosyntropin"
"BN","Cyanocobalamin"
"BN","CycloSPORINE"
"BN","CycloSPORINE A"
"BN","Cytarabine"
"BN","Cytomegalovirus Immune Globulin"
"BN","Dacarbazine"
"BN","Dactinomycin"
"BN","Danazol"
"BN","Dapagliflozin"
"BN","Dapsone"
"BN","Daptomycin"
"BN","Darunavir"
"BN","Decitabine"
"BN","Deferasirox"
"BN","Deferiprone"
"BN","Degarelix"
"BN","Desflurane"
"BN","Desloratadine"
"BN","Desonide"
"BN","Desoximetasone"
"BN","Desvenlafaxine"
"BN","Dexamethasone"
"BN","Dexlansoprazole"
"BN","Dexrazoxane"
"BN","Dextran 40"
"BN","Dextran-HM"
"BN","Dextromethorphan"
"BN","DiazePAM"
"BN","Dibucaine"
"BN","Dichlorphenamide"
"BN","Diclofenac"
"BN","Didanosine"
"BN","Diflunisal"
"BN","Digoxin"
"BN","Dipyridamole"
"BN","Disulfiram"
"BN","Dofetilide"
"BN","Dopamine"
"BN","Doxepin"
"BN","Doxercalciferol"
"BN","Doxycycline"
"BN","Dronabinol"
"BN","Droperidol"
"BN","Dutasteride"
"BN","EPHEDrine"
"BN","Efavirenz"
"BN","Emtricitabine"
"BN","Entacapone"
"BN","Epinephrine"
"BN","Eplerenone"
"BN","Eptifibatide"
"BN","Ergocalciferol"
"BN","Erlotinib"
"BN","Ertapenem"
"BN","Erythromycin"
"BN","Erythromycin Base"
"BN","Escitalopram"
"BN","Estazolam"
"BN","Estradiol"
"BN","Ethacrynic Acid"
"BN","Ethinyl Estradiol"
"BN","Ethosuximide"
"BN","Etodolac"
"BN","Etomidate"
"BN","Etoposide"
"BN","Etravirine"
"BN","Everolimus"
"BN","Exemestane"
"BN","Ezetimibe"
"BN","Famciclovir"
"BN","Famotidine"
"BN","Febuxostat"
"BN","Felbamate"
"BN","Felodipine ER"
"BN","Fenofibrate"
"BN","Fenofibric Acid"
"BN","Fenoldopam"
"BN","FentaNYL"
"BN","Ferumoxytol"
"BN","Finasteride"
"BN","Fingolimod"
"BN","Floxuridine"
"BN","Fluconazole"
"BN","Flucytosine"
"BN","Fludeoxyglucose F18"
"BN","Flumazenil"
"BN","Flunisolide Anhydrous"
"BN","Fluocinonide"
"BN","Fluorescein"
"BN","Fluorometholone"
"BN","Fluorouracil"
"BN","Fluoxymesterone"
"BN","Flurandrenolide"
"BN","Flurbiprofen"
"BN","Flutamide"
"BN","Fluticasone"
"BN","Fomepizole"
"BN","Formaldehyde"
"BN","Fosaprepitant"
"BN","Fulvestrant"
"BN","Furosemide"
"BN","Ga 68 PSMA-11"
"BN","Gadobutrol"
"BN","Ganciclovir"
"BN","Gefitinib"
"BN","Gemcitabine"
"BN","Gemfibrozil"
"BN","Glimepiride"
"BN","GlipiZIDE"
"BN","Glucagon"
"BN","GlyBURIDE"
"BN","Glycerin"
"BN","Glycerine"
"BN","Glycerol"
"BN","Griseofulvin"
"BN","GuaiFENesin"
"BN","GuanFACINE"
"BN","Halcinonide"
"BN","Haloperidol"
"BN","Hexachlorophene"
"BN","Homatropine"
"BN","HydroCHLOROthiazide"
"BN","Hydrocortisone"
"BN","Hydromorphone"
"BN","Hydroquinone"
"BN","Hydroxocobalamin"
"BN","Hydroxyprogesterone"
"BN","Hydroxyurea"
"BN","Ibuprofen"
"BN","Ibuprofen PMR"
"BN","Icatibant"
"BN","Ifosfamide"
"BN","Iloprost"
"BN","Indapamide"
"BN","Indium Oxyquinoline In-111"
"BN","Indocyanine Green"
"BN","Indomethacin"
"BN","Infliximab"
"BN","Insulin Aspart"
"BN","Insulin Degludec"
"BN","Insulin Glargine"
"BN","Insulin Lispro"
"BN","Interferon Alfa-2B"
"BN","Iodixanol"
"BN","Iopamidol"
"BN","Irbesartan"
"BN","Isoflurane"
"BN","Isoniazid"
"BN","Isosorbide Dinitrate"
"BN","Isosorbide Mononitrate"
"BN","Isotretinoin"
"BN","Isradipine"
"BN","Itraconazole"
"BN","Ivermectin"
"BN","Ketoconazole"
"BN","Ketoprofen"
"BN","L-Carnitine"
"BN","Labetalol"
"BN","Lactulose"
"BN","LamiVUDine"
"BN","LamoTRIgine"
"BN","Lanreotide"
"BN","Lansoprazole"
"BN","Lapatinib"
"BN","Latanoprost Ophthalmic"
"BN","Leflunomide"
"BN","Lenalidomide"
"BN","Letrozole"
"BN","LevOCARNitine"
"BN","Levalbuterol"
"BN","LevoFLOXacin"
"BN","Levobunolol"
"BN","Levoleucovorin"
"BN","Levonorgestrel"
"BN","Lidocaine"
"BN","Linezolid"
"BN","Lisdexamfetamine"
"BN","Lomustine"
"BN","Lorazepam"
"BN","Lovastatin"
"BN","Lubiprostone"
"BN","Luliconazole"
"BN","Lurasidone"
"BN","Malathion"
"BN","Mannitol"
"BN","Maraviroc"
"BN","Mebendazole"
"BN","Mefenamic Acid"
"BN","Meloxicam"
"BN","Melphalan"
"BN","Mesalamine"
"BN","Metaxalone"
"BN","Metformin Hcl-Saxagliptin ER"
"BN","Methimazole"
"BN","Methocarbamol"
"BN","Methotrexate"
"BN","Methoxsalen"
"BN","Methsuximide"
"BN","MethylPREDNISolone"
"BN","MethylTESTOSTERone"
"BN","Methylphenidate"
"BN","Metolazone"
"BN","MetroNIDAZOLE"
"BN","Metyrosine"
"BN","Micafungin"
"BN","Miconazole"
"BN","Midazolam"
"BN","Mifepristone"
"BN","MigLUstat"
"BN","Miglitol"
"BN","Minoxidil"
"BN","Misoprostol"
"BN","MitoMYcin"
"BN","Mitomycin-C"
"BN","Modafinil"
"BN","Moxifloxacin (Eqv-Moxeza)"
"BN","Moxifloxacin (Eqv-Vigamox)"
"BN","Mupirocin"
"BN","Mycophenolic Acid"
"BN","Nabilone"
